celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,_source_file,week,judge1_score,judge2_score,judge3_score,judge4_score,judge1_score_raw,judge2_score_raw,judge3_score_raw,judge4_score_raw,judge1_out_of_range,judge2_out_of_range,judge3_out_of_range,judge4_out_of_range,n_judges_reported,n_judges_present,n_judges_reported_raw,has_partial_na_raw,is_all_na,is_all_zero,is_present,result_type,is_withdrew_result,zero_score_conflict,week_total_score,week_total_score_raw,week_avg_score,week_max_possible,week_score_percentage,expected_judges_reported_raw,unexpected_missing_scores,combine_method_x,week_score_rank,week_score_share,last_week_scored,season_final_week,final_week_n_performers,expected_to_perform_in_finale,expected_last_week,is_competing_week,is_missing_finale_scores,is_gap_week,week_score_rank_discrepancy,is_no_elimination,is_double_elimination,n_active,final_week,is_final_week,is_no_elim_from_results,is_no_elimination_any,weeks_since_exit,exclude_from_fan_vote_inference,celebrity_industry_clean,celebrity_homecountry_clean,celebrity_homestate_clean,celebrity_homestate_abbr,is_foreign,celebrity_age_raw,age_outlier,is_withdrawn,is_withdrawn_inferred,exit_week_from_results,computed_last_week,exit_week_mismatch,partner_seasons,partner_contestants,partner_wins,partner_avg_placement,partner_avg_last_week,partner_avg_season_score_pct,partner_seasons_prior,partner_contestants_prior,partner_wins_prior,partner_avg_placement_prior,partner_avg_last_week_prior,partner_avg_season_score_pct_prior,combine_method_y,is_finale,is_eliminated,fan_vote_mean,fan_vote_std,fan_vote_ci_lower,fan_vote_ci_upper,snr,ci_width,ppc_consistency,hit_rate,elimination_count,mean_violation,acceptance_rate,converged,industry,age,age_c,log_week,y_judge
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22.0,5,Eliminated Week 2,11,3-27赛季（百分比结合法）.csv,1,7.0,7.0,7.0,,7.0,7.0,7.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,21.0,21.0,7.0,30.0,0.7,3,False,percent,2.0,0.1288343558282208,2,10,1,False,2,True,False,False,-9.0,False,False,8,10,False,False,False,,False,Model,United States,Florida,FL,False,22,False,False,False,2.0,2,False,11,11,0,8.181818181818182,4.909090909090909,0.6938487853535353,1,1,0,2.0,8.0,0.7506941666666667,percent,False,False,0.1472747968160936,0.1301099383527102,0.0064317476628116,0.4871264862464283,1.1319258049577978,0.4806947385836166,0.7465,1.0,1.0,0.00418734559477,0.402,True,Model,22.0,-16.99159663865546,0.0,0.03907383874800363
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22.0,5,Eliminated Week 2,11,3-27赛季（百分比结合法）.csv,2,7.0,7.0,7.0,,7.0,7.0,7.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,21.0,21.0,7.0,30.0,0.7,3,False,percent,3.0,0.1438356164383561,2,10,1,False,2,True,False,False,-8.0,False,False,7,10,False,False,False,,False,Model,United States,Florida,FL,False,22,False,False,False,2.0,2,False,11,11,0,8.181818181818182,4.909090909090909,0.6938487853535353,1,1,0,2.0,8.0,0.7506941666666667,percent,False,True,0.0597527340450442,0.0278878461976007,0.0146494131408799,0.121227480991806,2.1426084111122257,0.106578067850926,0.6099,1.0,1.0,0.009168522388395,0.43156,True,Model,22.0,-16.99159663865546,0.6931471805599453,0.02050224141502377
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22.0,21,3rd Place,3,3-27赛季（百分比结合法）.csv,1,8.0,7.0,7.0,,8.0,7.0,7.0,,False,False,False,False,3,3,3,True,False,False,True,finalist,False,False,22.0,22.0,7.333333333333333,30.0,0.7333333333333333,3,False,percent,4.0,0.1042654028436018,11,11,3,True,11,True,False,False,1.0,True,False,11,11,False,False,True,,False,Other,United States,California,CA,False,22,False,False,False,,11,False,10,10,1,5.4,7.9,0.7581083438792688,1,1,0,8.0,6.0,0.6555555555555556,,,,,,,,,,,,,,,,Other,22.0,-16.99159663865546,0.0,0.1650286972206243
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22.0,21,3rd Place,3,3-27赛季（百分比结合法）.csv,2,7.5,7.0,8.0,,7.5,7.0,8.0,,False,False,False,False,3,3,3,True,False,False,True,finalist,False,False,22.5,22.5,7.5,30.0,0.75,3,False,percent,3.0,0.0986842105263157,11,11,3,True,11,True,False,False,0.0,False,True,11,11,False,False,False,,False,Other,United States,California,CA,False,22,False,False,False,,11,False,10,10,1,5.4,7.9,0.7581083438792688,1,1,0,8.0,6.0,0.6555555555555556,percent,False,False,0.1366364527684997,0.1146778490788039,0.006892847791199,0.4417998607534195,1.1914807763394502,0.4349070129622205,0.7541,1.0,1.0,0.0043862480458899,0.34052,True,Other,22.0,-16.99159663865546,0.6931471805599453,0.09294845593703283
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27.0,21,Eliminated Week 9,6,3-27赛季（百分比结合法）.csv,1,7.0,7.0,8.0,,7.0,7.0,8.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,22.0,22.0,7.333333333333333,30.0,0.7333333333333333,3,False,percent,4.0,0.1042654028436018,9,11,3,False,9,True,False,False,-2.0,True,False,11,11,False,False,True,,False,Actor,United States,Florida,FL,False,27,False,False,False,9.0,9,False,20,19,3,5.35,7.8,0.822969036002886,15,14,2,6.0,7.133333333333334,0.8003260628186628,,,,,,,,,,,,,,,,Actor,27.0,-11.991596638655459,0.0,0.1650286972206243
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27.0,21,Eliminated Week 9,6,3-27赛季（百分比结合法）.csv,2,7.5,7.5,8.0,,7.5,7.5,8.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,23.0,23.0,7.666666666666667,30.0,0.7666666666666667,3,False,percent,2.0,0.1008771929824561,9,11,3,False,9,True,False,False,-4.0,False,True,11,11,False,False,False,,False,Actor,United States,Florida,FL,False,27,False,False,False,9.0,9,False,20,19,3,5.35,7.8,0.822969036002886,15,14,2,6.0,7.133333333333334,0.8003260628186628,percent,False,False,0.1257970612339659,0.1152159496769203,0.0051053802075172,0.459538544521986,1.091837210711995,0.4544331643144688,0.7541,1.0,1.0,0.0043862480458899,0.34052,True,Actor,27.0,-11.991596638655459,0.6931471805599453,0.11492714236816148
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18.0,16,Eliminated Week 10,4,3-27赛季（百分比结合法）.csv,1,7.0,7.0,7.0,,7.0,7.0,7.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,21.0,21.0,7.0,30.0,0.7,3,False,percent,2.0,0.1099476439790576,10,10,4,True,10,True,False,False,-2.0,True,False,10,10,False,False,True,,False,Athlete,United States,Massachusetts,MA,False,18,False,False,False,10.0,10,False,20,19,3,5.35,7.8,0.822969036002886,10,9,2,6.5,6.4,0.773251095959596,,,,,,,,,,,,,,,,Athlete,18.0,-20.99159663865546,0.0,0.1094556203018433
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18.0,16,Eliminated Week 10,4,3-27赛季（百分比结合法）.csv,2,8.0,8.0,8.0,,8.0,8.0,8.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,24.0,24.0,8.0,30.0,0.8,3,False,percent,3.0,0.116504854368932,10,10,4,True,10,True,False,False,-1.0,False,False,10,10,False,False,False,,False,Athlete,United States,Massachusetts,MA,False,18,False,False,False,10.0,10,False,20,19,3,5.35,7.8,0.822969036002886,10,9,2,6.5,6.4,0.773251095959596,percent,False,False,0.1057118969639225,0.1008339312260198,0.0013758294805275,0.3752129015717528,1.0483762318274696,0.3738370720912253,1.0,,0.0,0.0,0.37112,True,Athlete,18.0,-20.99159663865546,0.6931471805599453,0.169793254520489
Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21.0,27,4th Place,4,3-27赛季（百分比结合法）.csv,1,7.0,7.5,7.5,,7.0,7.5,7.5,,False,False,False,False,3,3,3,True,False,False,True,finalist,False,False,22.0,22.0,7.333333333333333,30.0,0.7333333333333333,3,False,percent,3.0,0.1023255813953488,9,9,3,False,9,True,False,False,-1.0,False,False,11,9,False,False,False,,False,Reality TV Star,United States,California,CA,False,21,False,False,False,,9,False,8,8,1,5.625,7.0,0.7755368998316499,2,2,0,8.0,2.5,0.7402777777777778,percent,False,False,0.0942624008223145,0.085186552062893,0.0025966545796249,0.3179898833425973,1.1065408615442824,0.3153932287629724,0.506,1.0,1.0,0.0082289487789714,0.23964,True,Reality TV Star,21.0,-17.99159663865546,0.0,0.1272552103245146
Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21.0,27,4th Place,4,3-27赛季（百分比结合法）.csv,2,8.0,8.5,8.0,,8.0,8.5,8.0,,False,False,False,False,3,3,3,True,False,False,True,finalist,False,False,24.5,24.5,8.166666666666666,30.0,0.8166666666666667,3,False,percent,3.0,0.1111111111111111,9,9,3,False,9,True,False,False,-1.0,False,False,10,9,False,False,False,,False,Reality TV Star,United States,California,CA,False,21,False,False,False,,9,False,8,8,1,5.625,7.0,0.7755368998316499,2,2,0,8.0,2.5,0.7402777777777778,percent,False,False,0.102481297471011,0.0649505491488702,0.013787154900733,0.2562362823062195,1.57783573281782,0.2424491274054864,0.5532,1.0,1.0,0.0090357241119451,0.31344,True,Reality TV Star,21.0,-17.99159663865546,0.6931471805599453,0.11404946750982115
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42.0,19,1st Place,1,3-27赛季（百分比结合法）.csv,1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,False,False,False,False,4,4,4,False,False,False,True,winner,False,False,36.0,36.0,9.0,40.0,0.9,4,False,percent,1.0,0.1125,11,11,4,True,11,True,False,False,0.0,False,False,11,11,False,False,False,,False,Actor,United States,New York,NY,False,42,False,False,False,,11,False,13,13,1,5.230769230769231,7.846153846153846,0.7893434666537166,0,0,0,,,,percent,False,False,0.0912053152197679,0.0878600142235058,0.0023563681630568,0.3362379216598595,1.038075351136918,0.3338815534968027,0.6757,1.0,1.0,0.0054214614235885,0.24204,True,Actor,42.0,3.0084033613445413,0.0,0.22744575729076333
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42.0,19,1st Place,1,3-27赛季（百分比结合法）.csv,2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,False,False,False,False,4,4,4,False,False,False,True,winner,False,False,32.0,32.0,8.0,40.0,0.8,4,False,percent,4.0,0.1056105610561056,11,11,4,True,11,True,False,False,3.0,False,False,10,11,False,False,False,,False,Actor,United States,New York,NY,False,42,False,False,False,,11,False,13,13,1,5.230769230769231,7.846153846153846,0.7893434666537166,0,0,0,,,,percent,False,False,0.1004170216624315,0.0602226002207992,0.0153238470124661,0.2441270471894127,1.6674308503372648,0.2288032001769466,0.5178,1.0,1.0,0.0096766165073749,0.31344,True,Actor,42.0,3.0084033613445413,0.6931471805599453,0.06035485352196135
Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24.0,34,2nd Place,2,剩下赛季（排名结合法）.csv,1,7.0,6.0,,,7.0,6.0,,,False,False,False,False,2,2,2,True,False,False,True,finalist,False,False,13.0,13.0,6.5,20.0,0.65,2,False,rank,3.0,0.087248322147651,11,11,4,True,11,True,False,False,1.0,True,False,13,11,False,False,True,,False,Reality TV Star,United States,Florida,FL,False,24,False,False,False,,11,False,1,1,0,2.0,11.0,0.8791666666666668,0,0,0,,,,,,,,,,,,,,,,,,,Reality TV Star,24.0,-14.991596638655459,0.0,0.13906165117700997
Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24.0,34,2nd Place,2,剩下赛季（排名结合法）.csv,2,7.0,7.0,7.0,,7.0,7.0,7.0,,False,False,False,False,3,3,3,True,False,False,True,finalist,False,False,21.0,21.0,7.0,30.0,0.7,3,False,rank,4.0,0.08203125,11,11,4,True,11,True,False,False,2.0,False,True,13,11,False,False,False,,False,Reality TV Star,United States,Florida,FL,False,24,False,False,False,,11,False,1,1,0,2.0,11.0,0.8791666666666668,0,0,0,,,,rank,False,False,0.0925428712287892,0.0686059175675399,0.0050698499832097,0.2418411442503113,1.348905085378295,0.2367712942671016,0.9682,1.0,2.0,0.0336,0.108,True,Reality TV Star,24.0,-14.991596638655459,0.6931471805599453,0.07123137755104292
Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26.0,28,3rd Place,3,剩下赛季（排名结合法）.csv,1,5.0,5.0,6.0,,5.0,5.0,6.0,,False,False,False,False,3,3,3,True,False,False,True,finalist,False,False,16.0,16.0,5.333333333333333,30.0,0.5333333333333333,3,False,rank,7.0,0.0812182741116751,11,11,4,True,11,True,False,False,4.0,True,False,12,11,False,False,True,,False,Musician,United States,Texas,TX,False,26,False,False,False,,11,False,11,11,0,5.909090909090909,8.090909090909092,0.8109357090384364,5,5,0,5.8,7.2,0.8170992063492065,,,,,,,,,,,,,,,,Musician,26.0,-12.991596638655459,0.0,-0.00954236887567328
Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26.0,28,3rd Place,3,剩下赛季（排名结合法）.csv,2,7.0,6.0,7.0,,7.0,6.0,7.0,,False,False,False,False,3,3,3,True,False,False,True,finalist,False,False,20.0,20.0,6.666666666666667,30.0,0.6666666666666666,3,False,rank,3.0,0.091324200913242,11,11,4,True,11,True,False,False,0.0,False,True,12,11,False,False,False,,False,Musician,United States,Texas,TX,False,26,False,False,False,,11,False,11,11,0,5.909090909090909,8.090909090909092,0.8109357090384364,5,5,0,5.8,7.2,0.8170992063492065,rank,False,False,0.0963144727736962,0.0992939894513929,0.0030076097407149,0.3634337211011054,0.9699929795231512,0.3604261113603904,0.9941,1.0,1.0,0.0099,0.22432,True,Musician,26.0,-12.991596638655459,0.6931471805599453,0.10717927861002607
Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49.0,32,5th Place,5,剩下赛季（排名结合法）.csv,1,5.0,4.0,4.0,,5.0,4.0,4.0,,False,False,False,False,3,3,3,True,False,False,True,finalist,False,False,13.0,13.0,4.333333333333333,30.0,0.4333333333333333,3,False,rank,9.0,0.0702702702702702,11,11,5,True,11,True,False,False,4.0,False,False,11,11,False,False,False,,False,Actor,United States,Washington D.C.,DC,False,49,False,False,False,,11,False,11,11,0,5.909090909090909,8.090909090909092,0.8109357090384364,9,9,0,5.888888888888889,8.0,0.8223305130671797,rank,False,False,0.0993915659119398,0.0882087211757383,0.0022950179382474,0.3358239018814178,1.1267770859215176,0.3335288839431703,0.9906,1.0,1.0,0.0107,0.22752,True,Actor,49.0,10.008403361344541,0.0,-0.235906611348355
Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49.0,32,5th Place,5,剩下赛季（排名结合法）.csv,2,7.0,6.0,6.0,,7.0,6.0,6.0,,False,False,False,False,3,3,3,True,False,False,True,finalist,False,False,19.0,19.0,6.333333333333333,30.0,0.6333333333333333,3,False,rank,5.0,0.1,11,11,5,True,11,True,False,False,0.0,False,False,10,11,False,False,False,,False,Actor,United States,Washington D.C.,DC,False,49,False,False,False,,11,False,11,11,0,5.909090909090909,8.090909090909092,0.8109357090384364,9,9,0,5.888888888888889,8.0,0.8223305130671797,rank,False,False,0.0980291784361371,0.0594391640525442,0.0153860355410753,0.2439651874218824,1.649235480239186,0.2285791518808071,0.9925,1.0,1.0,0.0078,0.2854,True,Actor,49.0,10.008403361344541,0.6931471805599453,0.013415309993240587
Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39.0,30,4th Place,4,剩下赛季（排名结合法）.csv,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,False,False,False,False,4,4,4,False,False,False,True,finalist,False,False,28.0,28.0,7.0,40.0,0.7,4,False,rank,2.0,0.0891719745222929,10,10,4,True,10,True,False,False,-2.0,True,False,13,10,False,False,True,,False,Reality TV Star,United States,Ohio,OH,False,39,False,False,False,,10,False,8,8,1,5.625,7.0,0.7755368998316499,5,5,1,5.2,7.0,0.7980349656565656,,,,,,,,,,,,,,,,Reality TV Star,39.0,0.008403361344541338,0.0,0.16454810884282134
Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39.0,30,4th Place,4,剩下赛季（排名结合法）.csv,2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,False,False,False,False,4,4,4,False,False,False,True,finalist,False,False,32.0,32.0,8.0,40.0,0.8,4,False,rank,1.0,0.0966767371601208,10,10,4,True,10,True,False,False,-3.0,False,False,13,10,False,False,False,,False,Reality TV Star,United States,Ohio,OH,False,39,False,False,False,,10,False,8,8,1,5.625,7.0,0.7755368998316499,5,5,1,5.2,7.0,0.7980349656565656,rank,False,False,0.0770365007358194,0.0760215774566715,0.0012355517450015,0.2830214313253815,1.0133504619578737,0.2817858795803799,0.995,1.0,1.0,0.005,0.15372,True,Reality TV Star,39.0,0.008403361344541338,0.6931471805599453,0.24364780140951936
Amber Riley,Derek Hough,Actor/Actress,California,United States,27.0,17,1st Place,1,3-27赛季（百分比结合法）.csv,1,9.0,9.0,9.0,,9.0,9.0,9.0,,False,False,False,False,3,3,3,True,False,False,True,winner,False,False,27.0,27.0,9.0,30.0,0.9,3,False,percent,1.0,0.1285714285714285,11,11,3,True,11,True,False,False,0.0,True,False,10,11,False,False,True,,False,Actor,United States,California,CA,False,27,False,False,False,,11,False,14,14,5,2.9285714285714284,9.642857142857142,0.8827817567511854,10,10,4,2.8,9.4,0.885001033862434,,,,,,,,,,,,,,,,Actor,27.0,-11.991596638655459,0.0,0.2672626309347321
