celebrity_name,season,ballroom_partner,celebrity_industry,celebrity_industry_clean,celebrity_homecountry_clean,celebrity_homestate_abbr,is_foreign,celebrity_age_during_season,results,placement,combine_method,is_withdrawn,last_week_active,season_mean_score_percentage,season_judge_rank,score_rank_discrepancy
Amanda Kloots,30,Alan Bersten,TV Personality,Reality TV Star,United States,OH,False,39.0,4th Place,4,rank,False,10,0.89375,2.0,-2.0
Amber Riley,17,Derek Hough,Actor/Actress,Actor,United States,CA,False,27.0,1st Place,1,percent,False,11,0.9210851515151515,2.0,1.0
Amber Rose,23,Maksim Chmerkoskiy,Model,Model,United States,PA,False,32.0,Eliminated Week 6,9,percent,False,6,0.6875,8.0,-1.0
Amy Purdy,18,Derek Hough,Athlete,Athlete,United States,NV,False,34.0,2nd Place,2,percent,False,10,0.9126386666666667,2.0,0.0
Andy Dick,16,Sharna Burgess,Comedian,TV/Host,United States,SC,False,47.0,Eliminated Week 7,7,percent,False,7,0.6309523809523808,7.0,0.0
Andy Grammer,21,Allison Holker,Singer/Rapper,Musician,United States,CA,False,31.0,Eliminated Week 8,7,percent,False,8,0.8197908333333334,6.0,-1.0
Andy Richter,34,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,TV/Host,United States,CA,False,59.0,Eliminated Week 9,7,rank,False,9,0.6398148148148147,11.0,4.0
Anne Heche,29,Keo Motsepe,Actor/Actress,Actor,United States,OH,False,51.0,Eliminated Week 4,13,rank,False,4,0.6,12.0,-1.0
Antonio Brown,22,Sharna Burgess,Athlete,Athlete,United States,FL,False,27.0,Eliminated Week 9,5,percent,False,9,0.7898148148148149,6.0,1.0
Apolo Anton Ohno,4,Julianne Hough,Athlete,Athlete,United States,WA,False,24.0,1st Place,1,percent,False,10,0.8961106666666666,1.0,0.0
Apolo Anton Ohno,15,Karina Smirnoff,Athlete,Athlete,United States,WA,False,30.0,Eliminated Week 9,5,percent,False,9,0.9148655555555556,3.0,-2.0
Ariana Madix,32,Pasha Pashkov,TV Personality,Reality TV Star,United States,FL,False,38.0,3rd Place,3,rank,False,11,0.884090909090909,3.0,0.0
Arike Ogunbowale,26,Gleb Savchenko,Athlete,Athlete,United States,WI,False,21.0,Eliminated Week 2,7,percent,False,2,0.7708333333333333,6.0,-1.0
Ashley Hamiliton,9,Edyta Sliwinska,Actor/Actress,Actor,United States,CA,False,34.0,Eliminated Week 1,16,percent,False,1,0.6333300000000001,11.0,-5.0
Audrina Patridge,11,Tony Dovolani,TV Personality,Reality TV Star,United States,CA,False,25.0,Eliminated Week 6,7,percent,False,6,0.8111099999999999,4.0,-3.0
Babyface,23,Allison Holker,Singer/Rapper,Musician,United States,IN,False,57.0,Eliminated Week 4,11,percent,False,4,0.65625,9.0,-2.0
Barbara Corcoran,25,Keo Motsepe,Entrepreneur,Other,United States,NJ,False,68.0,Eliminated Week 2,13,percent,False,2,0.5166666666666666,10.0,-3.0
Baron Davis,34,Britt Stewart,Athlete,Athlete,United States,CA,False,46.0,Eliminated Week 2,13,rank,False,2,0.55,12.0,-1.0
Barry Williams,32,Peta Murgatroyd,Actor/Actress,Actor,United States,CA,False,68.0,Eliminated Week 8,7,rank,False,8,0.6932291666666667,6.0,-1.0
Belinda Carlisle,8,Jonathan Roberts,Singer/Rapper,Musician,United States,CA,False,50.0,Eliminated Week 2,13,percent,False,2,0.5833333333333333,9.0,-4.0
Bethany Mota,19,Derek Hough,Social Media Personality,Reality TV Star,United States,CA,False,18.0,Eliminated Week 11,4,percent,False,11,0.9011363636363636,3.0,-1.0
Betsey Johnson,19,Tony Dovolani,Fashion Designer,Other,United States,CT,False,72.0,Eliminated Week 4,10,percent,False,4,0.6625,9.0,-1.0
Bill Engvall,17,Emma Slater,Comedian,TV/Host,United States,TX,False,56.0,Eliminated Week 11,4,percent,False,11,0.7575751515151515,7.0,3.0
Bill Nye,17,Tyne Stecklein,TV Personality,Reality TV Star,United States,DC,False,57.0,Eliminated Week 3,11,percent,False,3,0.5222222222222223,10.0,-1.0
Billy Dee Williams,18,Emma Slater,Actor/Actress,Actor,United States,NY,False,76.0,Withdrew,10,percent,True,2,0.5,10.0,0.0
Billy Ray Cyrus,4,Karina Smirnoff,Singer/Rapper,Musician,United States,KY,False,45.0,Eliminated Week 8,5,percent,False,8,0.6333333333333333,7.0,2.0
Bobby Bones,27,Sharna Burgess,Radio Personality,TV/Host,United States,AR,False,38.0,1st Place,1,percent,False,9,0.7462962962962963,6.0,5.0
Bonner Bolton,24,Sharna Burgess,Athlete,Athlete,United States,TX,False,29.0,Eliminated Week 8,5,percent,False,8,0.7109375,8.0,3.0
Brandy,11,Maksim Chmerkoskiy,Singer/Rapper,Musician,United States,MS,False,31.0,Eliminated Week 9,4,percent,False,9,0.8865737037037037,2.0,-2.0
Brant Daugherty,17,Peta Murgatroyd,Actor/Actress,Actor,United States,OH,False,28.0,Eliminated Week 8,7,percent,False,8,0.8604166666666667,4.0,-3.0
Brian Austin Green,30,Sharna Burgess,Actor/Actress,Actor,United States,CA,False,48.0,Eliminated Week 4,13,rank,False,4,0.6145833333333333,12.0,-1.0
Bristol Palin,11,Mark Ballas,TV Personality,Reality TV Star,United States,AK,False,19.0,3rd Place,3,percent,False,10,0.7368046666666667,5.0,2.0
Bristol Palin,15,Mark Ballas,TV Personality,Reality TV Star,United States,AK,False,21.0,Eliminated Week 4,9,percent,False,4,0.7,10.0,1.0
Brooke Burke,7,Derek Hough,TV Personality,Reality TV Star,United States,CT,False,37.0,1st Place,1,percent,False,10,0.8983333333333332,1.0,0.0
Brooks Nader,33,Gleb Savchenko,Model,Model,United States,NY,False,27.0,Eliminated Week 4,9,rank,False,4,0.7072916666666667,9.0,0.0
Buzz Aldrin,10,Ashly DelGrosso,Astronaut,Other,United States,NJ,False,80.0,Eliminated Week 3,10,percent,False,3,0.43333333333333335,9.0,-1.0
Calvin Johnson Jr.,23,Lindsay Arnold,Athlete,Athlete,United States,GA,False,30.0,3rd Place,3,percent,False,11,0.8530297727272728,3.0,0.0
Candace Cameron Bure,18,Mark Ballas,Actor/Actress,Actor,United States,CA,False,37.0,3rd Place,3,percent,False,10,0.8299993333333333,6.0,3.0
Carlos PenaVega,21,Witney Carson,Actor/Actress,Actor,United States,MO,False,26.0,Eliminated Week 11,4,percent,False,11,0.8999993939393939,2.0,-2.0
Carole Baskin,29,Pasha Pashkov,TV Personality,Reality TV Star,United States,TX,False,59.0,Eliminated Week 3,14,rank,False,3,0.43333333333333335,14.0,0.0
Carson Kressley,13,Anna Trebunskaya,TV Personality,Reality TV Star,United States,PA,False,41.0,Eliminated Week 5,8,percent,False,5,0.6466666666666667,9.0,1.0
Chad Ochocinco,10,Cheryl Burke,Athlete,Athlete,United States,FL,False,32.0,Eliminated Week 9,4,percent,False,9,0.7388885185185186,4.0,0.0
Chaka Khan,21,Keo Motsepe,Singer/Rapper,Musician,United States,IL,False,62.0,Eliminated Week 2,13,percent,False,2,0.4666666666666667,11.0,-2.0
Chandler Kinney,33,Brandon Armstrong,Actor/Actress,Actor,United States,CA,False,24.0,3rd Place,3,rank,False,9,0.9069444444444444,1.0,-2.0
Charity Lawson,32,Artem Chigvintsev,TV Personality,Reality TV Star,United States,GA,False,27.0,4th Place,4,rank,False,11,0.8825757575757577,4.0,0.0
Charles Oakley,29,Emma Slater,Athlete,Athlete,United States,OH,False,56.0,Eliminated Week 2,15,rank,False,2,0.45,13.0,-2.0
Charli D'Amelio,31,Mark Ballas,Social Media Personality,Reality TV Star,United States,CT,False,18.0,1st Place,1,rank,False,10,0.9475,1.0,0.0
Charlie White,18,Sharna Burgess,Athlete,Athlete,United States,MI,False,26.0,Eliminated Week 9,5,percent,False,9,0.9023148148148148,3.0,-2.0
Charlotte McKinney,20,Keo Motsepe,Model,Model,United States,FL,False,21.0,Eliminated Week 3,11,percent,False,3,0.5833333333333334,10.0,-1.0
Chaz Bono,13,Lacey Schwimmer,TV Personality,Reality TV Star,United States,CA,False,42.0,Eliminated Week 6,7,percent,False,6,0.6277777777777778,10.0,3.0
Chelsea Kane,12,Mark Ballas,Actor/Actress,Actor,United States,AZ,False,22.0,3rd Place,3,percent,False,10,0.8655553333333333,1.0,-2.0
Cheryl Ladd,31,Louis van Amstel,Actor/Actress,Actor,United States,SD,False,71.0,Eliminated Week 3,14,rank,False,3,0.5499999999999999,13.0,-1.0
Chris Jericho,12,Cheryl Burke,Athlete,Athlete,United States,NY,False,40.0,Eliminated Week 6,7,percent,False,6,0.7444444444444445,5.0,-2.0
Chris Kattan,24,Witney Carson,Comedian,TV/Host,United States,CA,False,46.0,Eliminated Week 2,12,percent,False,2,0.48750000000000004,11.0,-1.0
Chris Mazdzer,26,Witney Carson,Athlete,Athlete,United States,MA,False,29.0,Eliminated Week 3,5,percent,False,3,0.7833333333333332,5.0,0.0
Chris Soules,20,Witney Carson,TV Personality,Reality TV Star,United States,IA,False,33.0,Eliminated Week 8,5,percent,False,8,0.709375,5.0,0.0
Chrishell Stause,29,Gleb Savchenko,Actor/Actress,Actor,United States,KY,False,39.0,Eliminated Week 8,8,rank,False,8,0.7125,9.0,1.0
Christina Milian,17,Mark Ballas,Singer/Rapper,Musician,United States,NJ,False,31.0,Eliminated Week 5,9,percent,False,5,0.8333333333333334,5.0,-4.0
Chuck Liddell,9,Anna Trebunskaya,Athlete,Athlete,United States,CA,False,39.0,Eliminated Week 4,11,percent,False,4,0.625,13.0,2.0
Chuck Wicks,8,Julianne Hough,Singer/Rapper,Musician,United States,DE,False,29.0,Eliminated Week 8,6,percent,False,8,0.7645833333333334,4.0,-2.0
Chynna Phillips,13,Tony Dovolani,Singer/Rapper,Musician,United States,CA,False,43.0,Eliminated Week 4,9,percent,False,4,0.75,5.0,-4.0
Cloris Leachman,7,Corky Ballas,Actor/Actress,Actor,United States,IA,False,82.0,Eliminated Week 6,7,percent,False,6,0.5833333333333334,12.0,5.0
Clyde Drexler,4,Elena Grinenko,Athlete,Athlete,United States,LA,False,44.0,Eliminated Week 5,8,percent,False,5,0.52,9.0,1.0
Cody Linley,7,Julianne Hough,Actor/Actress,Actor,United States,TX,False,18.0,Eliminated Week 9,4,percent,False,9,0.7611111111111111,4.0,0.0
Cody Rigsby,30,Cheryl Burke,Fitness Instructor,Other,United States,CA,False,34.0,3rd Place,3,rank,False,10,0.79125,7.0,4.0
Corbin Bleu,17,Karina Smirnoff,Actor/Actress,Actor,United States,NY,False,24.0,2nd Place,2,percent,False,11,0.9220948484848485,1.0,-1.0
Corey Feldman,34,Jenna Johnson,Actor/Actress,Actor,United States,CA,False,54.0,Eliminated Week 2,13,rank,False,2,0.475,13.0,0.0
D. L. Hughley,16,Cheryl Burke,Comedian,TV/Host,United States,VA,False,50.0,Eliminated Week 5,9,percent,False,5,0.5533333333333333,10.0,1.0
Danelle Umstead,27,Artem Chigvintsev,Athlete,Athlete,United States,NM,False,46.0,Eliminated Week 2,12,percent,False,2,0.6083333333333334,10.0,-2.0
Danica McKellar,18,Valentin Chmerkovskiy,Actor/Actress,Actor,United States,CA,False,39.0,Eliminated Week 8,6,percent,False,8,0.878125,5.0,-1.0
Daniel Durant,31,Britt Stewart,Actor/Actress,Actor,United States,MI,False,32.0,Eliminated Week 9,5,rank,False,9,0.8152777777777778,6.0,1.0
Danielle Fishel,34,Pasha Pashkov,Actor/Actress,Actor,United States,CA,False,44.0,Eliminated Week 8,8,rank,False,8,0.7572916666666667,6.0,-2.0
Danny Amendola,33,Witney Carson,Athlete,Athlete,United States,TX,False,39.0,5th Place,5,rank,False,9,0.8314814814814815,4.0,-1.0
David Alan Grier,8,Kym Johnson,Actor/Actress,Actor,United States,MI,False,52.0,Eliminated Week 5,9,percent,False,5,0.6933333333333334,6.0,-3.0
David Arquette,13,Kym Johnson,Actor/Actress,Actor,United States,VA,False,40.0,Eliminated Week 7,6,percent,False,7,0.7357142857142858,6.0,0.0
David Hasselhoff,11,Kym Johnson,Actor/Actress,Actor,United States,MD,False,58.0,Eliminated Week 1,12,percent,False,1,0.5,10.0,-2.0
David Ross,24,Lindsay Arnold,Athlete,Athlete,United States,GA,False,40.0,2nd Place,2,percent,False,10,0.78208325,6.0,4.0
DeMarcus Ware,27,Lindsay Arnold,Athlete,Athlete,United States,AL,False,36.0,Eliminated Week 7,7,percent,False,7,0.8238095238095238,4.0,-3.0
Debbie Gibson,25,Alan Bersten,Singer/Rapper,Musician,United States,NY,False,47.0,Eliminated Week 2,12,percent,False,2,0.625,9.0,-3.0
Debi Mazar,9,Maksim Chmerkoskiy,Actor/Actress,Actor,United States,NY,False,45.0,Eliminated Week 3,12,percent,False,3,0.6666666666666666,8.0,-4.0
Denise Richards,8,Maksim Chmerkoskiy,Actor/Actress,Actor,United States,IL,False,38.0,Eliminated Week 3,12,percent,False,3,0.611111111111111,8.0,-4.0
Derek Fisher,25,Sharna Burgess,Athlete,Athlete,United States,AR,False,43.0,Eliminated Week 4,11,percent,False,4,0.675,7.0,-4.0
Diana Nyad,18,Henry Byalikov,Athlete,Athlete,United States,NY,False,64.0,Eliminated Week 2,12,percent,False,1,0.6,9.0,-3.0
Donald Driver,14,Peta Murgatroyd,Athlete,Athlete,United States,TX,False,37.0,1st Place,1,percent,False,10,0.9038883333333333,1.0,0.0
Donny Osmond,9,Kym Johnson,Singer/Rapper,Musician,United States,UT,False,51.0,1st Place,1,percent,False,10,0.8822206666666667,2.0,1.0
Dorothy Hamill,16,Tristan MacManus,Athlete,Athlete,United States,IL,False,56.0,Withdrew,12,percent,True,2,0.6,8.0,-4.0
Doug Flutie,22,Karina Smirnoff,Athlete,Athlete,United States,MD,False,53.0,Eliminated Week 6,9,percent,False,6,0.6388888888888888,10.0,1.0
Drew Carey,18,Cheryl Burke,Comedian,TV/Host,United States,OH,False,55.0,Eliminated Week 6,8,percent,False,6,0.7458333333333332,8.0,0.0
Drew Lachey,2,Cheryl Burke,Singer/Rapper,Musician,United States,OH,False,29.0,1st Place,1,rank,False,8,0.9145825,2.0,1.0
Drew Lachey,15,Anna Trebunskaya,Singer/Rapper,Musician,United States,OH,False,36.0,Eliminated Week 3,11,percent,False,3,0.7555555555555555,8.0,-3.0
Dwight Howard?,33,Daniella Karagach,Athlete,Athlete,United States,GA,False,38.0,Eliminated Week 7,6,rank,False,7,0.7821428571428571,7.0,1.0
Dylan Efron,34,Daniella Karagach (Rumer Willis week 9),TV Personality,Reality TV Star,United States,CA,False,33.0,4th Place,4,rank,False,11,0.8404036363636365,4.0,0.0
Elaine Hendrix,34,Alan Bersten (Rashad Jennings week 9),Actor/Actress,Actor,United States,GA,False,55.0,5th Place,5,rank,False,11,0.8185600000000001,5.0,0.0
Elizabeth Berkley Lauren,17,Valentin Chmerkovskiy,Actor/Actress,Actor,United States,MI,False,39.0,Eliminated Week 9,6,percent,False,9,0.8851844444444444,3.0,-3.0
Emmitt Smith,3,Cheryl Burke,Athlete,Athlete,United States,FL,False,37.0,1st Place,1,percent,False,10,0.8588886666666667,3.0,2.0
Emmitt Smith,15,Cheryl Burke,Athlete,Athlete,United States,FL,False,43.0,Eliminated Week 9,4,percent,False,9,0.9039085185185185,5.0,1.0
Eric Roberts,33,Britt Stewart,Actor/Actress,Actor,United States,CA,False,68.0,Eliminated Week 3,10,rank,False,3,0.525,11.0,1.0
Erika Jayne,24,Gleb Savchenko,Singer/Rapper,Musician,United States,GA,False,45.0,Eliminated Week 5,9,percent,False,5,0.7,9.0,0.0
Erin Andrews,10,Maksim Chmerkoskiy,Sports Broadcaster,TV/Host,United States,ME,False,32.0,3rd Place,3,percent,False,10,0.831666,3.0,0.0
Evan Lysacek,10,Anna Trebunskaya,Athlete,Athlete,United States,IL,False,24.0,2nd Place,2,percent,False,10,0.8762956666666668,2.0,0.0
Evander Holyfield,1,Edyta Sliwinska,Athlete,Athlete,United States,AL,False,42.0,Eliminated Week 3,5,rank,False,3,0.5,5.0,0.0
Florence Henderson,11,Corky Ballas,Actor/Actress,Actor,United States,IN,False,76.0,Eliminated Week 5,8,percent,False,5,0.6366666666666666,7.0,-1.0
Floyd Mayweather Jr.,5,Karina Smirnoff,Athlete,Athlete,United States,MI,False,30.0,Eliminated Week 4,9,percent,False,4,0.6916666666666667,5.0,-4.0
Frankie Muniz,25,Witney Carson,Actor/Actress,Actor,United States,NJ,False,31.0,3rd Place,3,percent,False,10,0.8380550833333332,3.0,0.0
Gabby Windey,31,Valentin Chmerkovskiy,TV Personality,Reality TV Star,United States,IL,False,31.0,2nd Place,2,rank,False,10,0.90625,2.0,0.0
Gary Busey,21,Anna Trebunskaya,Actor/Actress,Actor,United States,TX,False,71.0,Eliminated Week 4,10,percent,False,4,0.5520833333333334,9.0,-1.0
Gavin DeGraw,14,Karina Smirnoff,Singer/Rapper,Musician,United States,NY,False,35.0,Eliminated Week 5,9,percent,False,5,0.7133333333333333,9.0,0.0
George Hamilton,2,Edyta Sliwinska,Actor/Actress,Actor,United States,TN,False,66.0,Eliminated Week 6,5,rank,False,6,0.7222222222222222,6.0,1.0
Geraldo Rivera,22,Edyta Sliwinska,Journalist,Other,United States,NY,False,72.0,Eliminated Week 2,12,percent,False,2,0.43333333333333335,11.0,-1.0
Ginger Zee,22,Valentin Chmerkovskiy,News Anchor,TV/Host,United States,CA,False,35.0,3rd Place,3,percent,False,10,0.8461106666666666,4.0,1.0
Gladys Knight,14,Tristan MacManus,Singer/Rapper,Musician,United States,GA,False,67.0,Eliminated Week 6,8,percent,False,6,0.7333333333333334,8.0,0.0
Hannah Brown,28,Alan Bersten,TV Personality,Reality TV Star,United States,AL,False,24.0,1st Place,1,rank,False,11,0.8412872727272728,2.0,1.0
Harry Hamlin,3,Ashly DelGrosso,Actor/Actress,Actor,United States,CA,False,54.0,Eliminated Week 3,9,percent,False,3,0.6666666666666666,8.0,-1.0
Hayes Grier,21,Emma Slater,Social Media Personality,Reality TV Star,United States,NC,False,15.0,Eliminated Week 7,8,percent,False,7,0.7976190476190476,7.0,-1.0
Heather Morris,24,Maksim Chmerkoskiy,Actor/Actress,Actor,United States,CA,False,30.0,Eliminated Week 6,8,percent,False,6,0.8208333333333333,4.0,-4.0
Heidi D'Amelio,31,Artem Chigvintsev,Social Media Personality,Reality TV Star,United States,LA,False,50.0,Eliminated Week 8,8,rank,False,8,0.821875,5.0,-3.0
Hilaria Baldwin,34,Gleb Savchenko,Entrepreneur,Other,United States,NY,False,41.0,Eliminated Week 4,11,rank,False,4,0.725,8.0,-3.0
Holly Madison,8,Dmitry Chaplin,TV Personality,Reality TV Star,United States,OR,False,30.0,Eliminated Week 4,11,percent,False,4,0.575,10.0,-1.0
Hope Solo,13,Maksim Chmerkoskiy,Athlete,Athlete,United States,WA,False,30.0,Eliminated Week 9,4,percent,False,9,0.7685177777777779,4.0,0.0
Ian Ziering,4,Cheryl Burke,Actor/Actress,Actor,United States,NJ,False,42.0,Eliminated Week 9,4,percent,False,9,0.8092592592592592,4.0,0.0
Ilona Maher,33,Alan Bersten,Athlete,Athlete,United States,CA,False,28.0,2nd Place,2,rank,False,9,0.8037037037037037,5.0,3.0
Iman Shumpert,30,Daniella Karagach,Athlete,Athlete,United States,IL,False,31.0,1st Place,1,rank,False,10,0.7933333333333333,6.0,5.0
J.R. Martinez,13,Karina Smirnoff,Actor/Actress,Actor,United States,LA,False,28.0,1st Place,1,percent,False,10,0.8772216666666667,2.0,1.0
Jack Wagner,14,Anna Trebunskaya,Actor/Actress,Actor,United States,MO,False,52.0,Eliminated Week 3,11,percent,False,3,0.7555555555555555,7.0,-4.0
Jacoby Jones,16,Karina Smirnoff,Athlete,Athlete,United States,LA,False,28.0,3rd Place,3,percent,False,10,0.839999,4.0,1.0
Jake Pavelka,10,Chelsie Hightower,TV Personality,Reality TV Star,United States,TX,False,32.0,Eliminated Week 6,7,percent,False,6,0.7111105555555555,5.0,-2.0
Jake T. Austin,23,Jenna Johnson,Actor/Actress,Actor,United States,NY,False,21.0,Eliminated Week 2,13,percent,False,2,0.575,11.0,-2.0
Jaleel White,14,Kym Johnson,Actor/Actress,Actor,United States,CA,False,35.0,Eliminated Week 7,7,percent,False,7,0.8642847619047619,4.0,-3.0
James Maslow,18,Peta Murgatroyd,Actor/Actress,Actor,United States,NY,False,23.0,Eliminated Week 10,4,percent,False,10,0.8875,4.0,0.0
James Van Der Beek,28,Emma Slater,Actor/Actress,Actor,United States,CT,False,42.0,Eliminated Week 10,5,rank,False,10,0.831666,3.0,-2.0
Jamie Anderson,26,Artem Chigvintsev,Athlete,Athlete,United States,CA,False,27.0,Eliminated Week 1,10,percent,False,1,0.6333333333333333,9.0,-1.0
Jamie Lynn Spears,32,Alan Bersten,Actor/Actress,Actor,United States,MS,False,32.0,Eliminated Week 2,13,rank,False,2,0.5166666666666666,9.0,-4.0
Jana Kramer,23,Gleb Savchenko,Singer/Rapper,Musician,United States,MI,False,32.0,Eliminated Week 11,4,percent,False,11,0.8545454545454546,2.0,-2.0
Janel Parrish,19,Valentin Chmerkovskiy,Actor/Actress,Actor,United States,HI,False,25.0,3rd Place,3,percent,False,11,0.9045449999999999,2.0,-1.0
Jason Lewis,31,Peta Murgatroyd,Actor/Actress,Actor,United States,CA,False,51.0,Eliminated Week 1,16,rank,False,1,0.45,15.0,-1.0
Jason Mraz,32,Daniella Karagach,Singer/Rapper,Musician,United States,VA,False,46.0,2nd Place,2,rank,False,11,0.8886363636363637,2.0,0.0
Jason Taylor,6,Edyta Sliwinska,Athlete,Athlete,United States,PA,False,33.0,2nd Place,2,percent,False,10,0.8716666666666667,2.0,0.0
Jeannie Mai,29,Brandon Armstrong,TV Personality,Reality TV Star,United States,CA,False,41.0,Withdrew,9,rank,True,7,0.7285714285714285,8.0,-1.0
Jeffrey Ross,7,Edyta Sliwinska,Comedian,TV/Host,United States,NJ,False,43.0,Eliminated Week 1,13,percent,False,1,0.4,13.0,0.0
Jen Affleck,34,Jan Ravnik,TV Personality,Reality TV Star,United States,UT,False,26.0,Eliminated Week 7,9,rank,False,7,0.7297619047619047,7.0,-2.0
Jenn Tran,33,Sasha Farber,TV Personality,Reality TV Star,United States,FL,False,26.0,Eliminated Week 6,7,rank,False,6,0.7875,6.0,-1.0
Jennie Finch Daigle,26,Keo Motsepe,Athlete,Athlete,United States,CA,False,37.0,Eliminated Week 3,6,percent,False,3,0.7374999999999999,7.0,1.0
Jennie Garth,5,Derek Hough,Actor/Actress,Actor,United States,IL,False,35.0,Eliminated Week 9,4,percent,False,9,0.8425925925925926,2.0,-2.0
Jennifer Grey,11,Derek Hough,Actor/Actress,Actor,United States,NY,False,50.0,1st Place,1,percent,False,10,0.8995833333333334,1.0,0.0
Jerry Rice,2,Anna Trebunskaya,Athlete,Athlete,United States,MS,False,43.0,2nd Place,2,rank,False,8,0.7506941666666667,5.0,3.0
Jesse Metcalfe,29,Sharna Burgess,Actor/Actress,Actor,United States,CA,False,41.0,Eliminated Week 5,12,rank,False,5,0.6533333333333333,11.0,-1.0
Jimmie Allen,30,Emma Slater,Singer/Rapper,Musician,United States,DE,False,36.0,Eliminated Week 8,7,rank,False,8,0.7817708333333333,8.0,1.0
JoJo Siwa,30,Jenna Johnson,Social Media Personality,Reality TV Star,United States,NE,False,18.0,2nd Place,2,rank,False,10,0.9175000000000001,1.0,-1.0
Jodie Sweetin,22,Keo Motsepe,Actor/Actress,Actor,United States,CA,False,34.0,Eliminated Week 8,6,percent,False,8,0.7958333333333334,5.0,-1.0
Joe Amabile,27,Jenna Johnson,TV Personality,Reality TV Star,United States,IL,False,32.0,Eliminated Week 8,6,percent,False,8,0.625,9.0,3.0
Joey Fatone,4,Kym Johnson,Singer/Rapper,Musician,United States,NY,False,30.0,2nd Place,2,percent,False,10,0.8922216666666667,2.0,0.0
Joey Fatone,15,Kym Johnson,Singer/Rapper,Musician,United States,NY,False,35.0,Eliminated Week 2,12,percent,False,2,0.7166666666666667,9.0,-3.0
Joey Graziadei,33,Jenna Johnson,TV Personality,Reality TV Star,United States,LA,False,29.0,1st Place,1,rank,False,9,0.8898148148148147,2.0,1.0
Joey Lawrence,3,Edyta Sliwinska,Actor/Actress,Actor,United States,PA,False,30.0,3rd Place,3,percent,False,9,0.8629629629629629,2.0,-1.0
Joey McIntyre,1,Ashly DelGrosso,Singer/Rapper,Musician,United States,MA,False,32.0,3rd Place,3,rank,False,5,0.7033333333333334,3.0,0.0
John O'Hurley,1,Charlotte Jorgensen,Actor/Actress,Actor,United States,ME,False,50.0,2nd Place,2,rank,False,6,0.8055555555555555,1.0,-1.0
John Ratzenberger,4,Edyta Sliwinska,Actor/Actress,Actor,United States,CT,False,59.0,Eliminated Week 7,6,percent,False,7,0.6357142857142858,6.0,0.0
John Schneider,27,Emma Slater,Actor/Actress,Actor,United States,NY,False,58.0,Eliminated Week 7,8,percent,False,7,0.7214285714285714,7.0,-1.0
Johnny Damon,26,Emma Slater,Athlete,Athlete,United States,KS,False,44.0,Eliminated Week 1,9,percent,False,1,0.6,10.0,1.0
Johnny Weir,29,Britt Stewart,Athlete,Athlete,United States,PA,False,36.0,Eliminated Week 10,6,rank,False,10,0.835,3.0,-3.0
Jonathan Bennett,19,Allison Holker,Actor/Actress,Actor,United States,OH,False,33.0,Eliminated Week 6,9,percent,False,6,0.7166666666666667,6.0,-3.0
